,unique_id,metric,Original,OnlineFixed,Online,OnlineRandGen,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
543,ID299,smape,0.07878065,0.074862145,0.10828066,0.06906396,0.04893908,0.11371044,0.19723977,0.3204452
544,ID3,smape,0.010988109,0.006802067,0.020981925,0.010730037,0.008880628,0.01174767,0.05883853,0.020434013
545,ID30,smape,0.06421579,0.0693306,0.101224564,0.07644699,0.04890522,0.08057731,0.109615184,0.057219002
546,ID300,smape,0.044046674,0.045516204,0.062022176,0.08795921,0.042084236,0.03160379,0.10583838,0.04279333
547,ID301,smape,0.055308253,0.05056152,0.05181326,0.034689303,0.056775782,0.06271284,0.045260087,0.1048122
548,ID302,smape,0.036021512,0.028997242,0.029902069,0.018935526,0.027023703,0.041412476,0.055197254,0.030973956
549,ID303,smape,0.062684946,0.050357807,0.06462736,0.10688939,0.067257494,0.06888822,0.30579224,0.1347592
550,ID304,smape,0.0070176623,0.00535853,0.02047736,0.011464209,0.008633918,0.010697064,0.033625312,0.023437472
551,ID305,smape,0.0784143,0.06907029,0.06437579,0.070017286,0.06584491,0.08766404,0.061647143,0.07366816
552,ID306,smape,0.040001627,0.032809854,0.027755627,0.052613243,0.030723168,0.024356985,0.07069017,0.02524086
553,ID307,smape,0.382774,0.38144234,0.37610117,0.36522666,0.3800865,0.41418377,0.3381944,0.3881012
554,ID308,smape,0.034493893,0.02802331,0.013830279,0.04365093,0.028015235,0.01784987,0.046353254,0.029507121
555,ID309,smape,0.045793697,0.041776825,0.044428397,0.06462016,0.04086192,0.04252018,0.09579169,0.056848373
556,ID31,smape,0.015457406,0.019974442,0.0387046,0.014288653,0.011085416,0.019671863,0.03926233,0.025607571
557,ID310,smape,0.1219111,0.11794615,0.12964277,0.12795465,0.13762726,0.08691785,0.23555899,0.28430107
558,ID311,smape,0.022696534,0.019439273,0.019880766,0.04038888,0.01749861,0.017897896,0.077500455,0.040167317
559,ID312,smape,0.041833866,0.04739179,0.053045522,0.03447851,0.04515934,0.05883499,0.039656878,0.051725466
560,ID313,smape,0.03457906,0.030943073,0.028921196,0.04222752,0.032910742,0.05239338,0.14436017,0.040948328
561,ID314,smape,0.023067705,0.020842472,0.015749218,0.043313395,0.01927705,0.019232918,0.09089246,0.08016433
562,ID315,smape,0.015016121,0.011716868,0.014682754,0.033686582,0.014128897,0.025507217,0.0877957,0.032474194
563,ID316,smape,0.12387403,0.120615065,0.11564531,0.13694717,0.13621962,0.09834126,0.18294369,0.16002893
564,ID317,smape,0.06852801,0.07251149,0.070780575,0.055986892,0.078948416,0.0866983,0.053550974,0.12253443
