,unique_id,metric,Original,OnlineFixed,Online,OnlineRandGen,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
156,ID4,smape,0.038121834,0.03448424,0.03828551,0.033629674,0.0345029,0.034597423,0.05424121,0.109103926
157,ID40,smape,0.080212004,0.0696332,0.071317226,0.071580224,0.074097335,0.07198937,0.060740605,0.078823835
158,ID41,smape,0.08049623,0.06858856,0.06684176,0.075961225,0.08282785,0.07942576,0.058392297,0.04056111
159,ID42,smape,0.06964581,0.06525508,0.060862664,0.060558766,0.06596852,0.07107497,0.043208536,0.034830492
160,ID43,smape,0.046325188,0.04108826,0.037919533,0.055474967,0.049030215,0.04468261,0.043527484,0.064583324
161,ID44,smape,0.08300219,0.07686902,0.0772079,0.08273638,0.08846822,0.08033536,0.075252555,0.05845626
162,ID45,smape,0.065377794,0.0550252,0.053452697,0.06143616,0.05942591,0.053287536,0.041449454,0.09238214
163,ID46,smape,0.037884828,0.034798544,0.04317004,0.037896115,0.037787605,0.03276475,0.075034,0.19455451
164,ID47,smape,0.047256827,0.053920906,0.04425511,0.04981826,0.053663712,0.04640111,0.046725366,0.1845638
165,ID48,smape,0.08776469,0.07428221,0.07945608,0.09755227,0.11743063,0.09674794,0.05118091,0.064903624
166,ID49,smape,0.028199421,0.02272782,0.023209631,0.026319949,0.03089227,0.023225851,0.047760736,0.11590386
167,ID5,smape,0.06963766,0.105967365,0.06666476,0.11276561,0.107289225,0.07142224,0.054958787,0.11687336
168,ID50,smape,0.08401933,0.079304665,0.076944776,0.08224959,0.08081314,0.083388664,0.08605703,0.08748139
169,ID51,smape,0.07710996,0.07405374,0.07342053,0.070908934,0.07402936,0.07485636,0.0727432,0.110275306
170,ID52,smape,0.037597384,0.033274952,0.03480122,0.037298474,0.030913996,0.03863599,0.027417848,0.07312943
171,ID53,smape,0.08025943,0.071689196,0.071794614,0.073558696,0.07109482,0.0753606,0.063417695,0.085955024
172,ID54,smape,0.040579543,0.040024597,0.038549274,0.03822558,0.03941339,0.03829247,0.056173965,0.12561664
173,ID55,smape,0.1563652,0.14403434,0.14807367,0.15837067,0.16843767,0.15341645,0.09694886,0.09606371
174,ID56,smape,0.09139935,0.08751136,0.082197286,0.09262273,0.0932019,0.09348299,0.07372563,0.11611062
175,ID57,smape,0.09603989,0.082357325,0.08179674,0.089660555,0.08765488,0.088425666,0.051193383,0.05669002
176,ID58,smape,0.10983601,0.10569308,0.10589892,0.11447031,0.10746478,0.11467079,0.06563645,0.06308437
177,ID59,smape,0.06458347,0.044893857,0.056161206,0.06500145,0.063156374,0.06220144,0.04706967,0.070782
178,ID6,smape,0.098912835,0.085643865,0.08218368,0.09385595,0.09185856,0.09283999,0.060340967,0.06691817
179,ID60,smape,0.13202529,0.114595614,0.10279321,0.1290865,0.13601828,0.12519394,0.057345226,0.04171246
180,ID61,smape,0.082992055,0.0675156,0.07259136,0.070220865,0.07689393,0.08218277,0.036562927,0.044172134
181,ID62,smape,0.0886862,0.085026234,0.08410584,0.09575207,0.09322918,0.086561196,0.055084974,0.0576499
182,ID63,smape,0.087684214,0.07571876,0.093233906,0.09042552,0.10172811,0.09415669,0.079434596,0.089373946
183,ID64,smape,0.045034815,0.039189607,0.041412245,0.04592684,0.05061503,0.04403482,0.044710908,0.07597854
184,ID65,smape,0.059283376,0.046793964,0.048182916,0.053836655,0.061391924,0.05713767,0.045880284,0.065987386
185,ID66,smape,0.11246491,0.11598921,0.110403575,0.12547262,0.10577912,0.11599765,0.04955678,0.05285853
186,ID67,smape,0.036946815,0.04653813,0.04198583,0.033467017,0.029083094,0.030967465,0.093579404,0.15678212
187,ID68,smape,0.15953095,0.16456243,0.17619596,0.16810882,0.18476208,0.17302771,0.08165186,0.06455732
