,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,SeasonalNaive
169,ID89,mase,1.3005387,1.2240065,1.1976794,1.1954385,0.688405
170,ID9,mase,1.709379,2.2330267,1.9328352,2.0128067,2.6258903
171,ID90,mase,0.60990584,0.6402915,0.6288858,0.6713588,2.0514135
172,ID99,mase,0.5968469,0.5667557,0.59958524,0.579833,0.44457856
173,ID0,smape,0.3055603,0.30979896,0.27001113,0.37931508,0.582232
174,ID1,smape,0.027108602,0.030706089,0.030082084,0.03171977,0.05035425
175,ID10,smape,0.08178587,0.0751971,0.07099639,0.07681256,0.0952381
176,ID101,smape,0.014006076,0.013486394,0.013870043,0.014676627,0.08416291
177,ID102,smape,0.0127500715,0.013768578,0.01180021,0.012407372,0.038541503
178,ID103,smape,0.01755049,0.02847182,0.022510791,0.028295197,0.07479355
179,ID104,smape,0.006850422,0.008865053,0.00985818,0.008499635,0.09579012
180,ID105,smape,0.0037602207,0.008429356,0.013599407,0.015628722,0.047724474
181,ID107,smape,0.027898017,0.03072898,0.03061105,0.032129146,0.06490578
182,ID108,smape,0.045349695,0.04591934,0.047569964,0.04647655,0.039282326
183,ID109,smape,0.31212288,0.31153297,0.31327525,0.31341296,0.308668
184,ID110,smape,0.014740458,0.03298104,0.026716884,0.019453939,0.025547445
185,ID111,smape,0.020494083,0.020964853,0.022454385,0.025149612,0.063951194
186,ID112,smape,0.008437026,0.008491393,0.0075888718,0.0038866594,0.0619185
187,ID113,smape,0.07923476,0.0747377,0.068217635,0.08135366,0.09106314
188,ID114,smape,0.035979934,0.05043821,0.033399127,0.054008618,0.092621416
189,ID115,smape,0.023603689,0.026501399,0.026568517,0.025269942,0.031229775
190,ID116,smape,0.0016682835,0.003091681,0.0030301383,0.0035574958,0.027297128
191,ID117,smape,0.0048213676,0.0049044555,0.004906098,0.0045680283,0.025651325
192,ID118,smape,0.0043745576,0.0054958677,0.0055870684,0.005507974,0.02690771
193,ID119,smape,0.014137287,0.014757374,0.015132979,0.016021037,0.036951285
194,ID12,smape,0.0035963762,0.003115586,0.0035093867,0.002589528,0.008152089
195,ID120,smape,0.0048097507,0.006519811,0.009477489,0.01069708,0.06325111
