,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,SeasonalNaive
123,ID36,mase,0.56829816,1.1982403,1.1535562,1.6788441,0.5676745
124,ID37,mase,1.3424177,1.0389779,0.8932775,0.93195003,1.29101
125,ID38,mase,0.3924002,0.63467574,0.5700925,0.7552465,0.8505703
126,ID39,mase,0.4584043,0.44971752,0.50035614,0.2890054,0.9867602
127,ID4,mase,1.0551717,0.9918489,0.9989634,1.0450784,3.28451
128,ID40,mase,1.1767634,1.161306,1.1015171,1.0785848,1.9982201
129,ID41,mase,0.17611396,0.5066617,0.3542633,0.6886149,1.448036
130,ID42,mase,1.2837795,1.9491183,1.7712358,2.2903388,0.64435786
131,ID43,mase,0.17178872,0.9127347,0.8910532,1.1755862,1.6763848
132,ID44,mase,0.82013994,0.7610144,0.8234524,1.0990893,0.4166667
133,ID45,mase,0.1357512,0.07536274,0.08139352,0.036270242,0.5273433
134,ID46,mase,2.6447296,3.0692344,3.2458987,4.219335,1.2773722
135,ID47,mase,1.1254653,1.4846752,1.4734235,1.6980374,0.41269842
136,ID48,mase,1.2902678,1.0635183,1.3264095,1.6240253,1.3541666
137,ID49,mase,1.2281662,2.1833756,1.9788256,2.33916,1.2055137
138,ID5,mase,0.5900074,0.57245547,0.53606045,0.5217386,2.166205
139,ID50,mase,0.5001667,0.5091451,0.5113209,0.55898315,1.0
140,ID51,mase,1.6610237,1.719167,1.9165066,2.2394035,0.95744675
141,ID52,mase,1.5450364,1.4622104,1.2409425,0.9496188,3.28125
142,ID53,mase,0.37270924,0.35469842,0.4522069,0.99692506,1.7460316
143,ID54,mase,1.4860531,0.6706368,0.5556248,1.0939023,2.242268
144,ID55,mase,4.0043893,4.384096,4.195294,4.5614963,2.923946
145,ID56,mase,1.0442754,1.5934683,1.402645,1.7014651,0.91397774
146,ID57,mase,1.7992469,1.6216222,1.6810186,1.3531199,2.420024
147,ID58,mase,0.6960672,1.3569245,1.0065928,2.4383678,1.3606694
148,ID59,mase,0.22672626,0.8543323,0.62759495,2.0368845,0.5606472
149,ID60,mase,2.2934582,2.2426722,2.2529109,2.0474918,2.8290734
150,ID61,mase,1.0075501,0.97951716,1.0195204,1.1443853,0.6934673
151,ID62,mase,0.7824944,0.83006525,0.666124,0.41095847,1.5276753
152,ID63,mase,1.378027,1.3959832,1.3408968,1.4079609,0.21714157
153,ID64,mase,0.8756936,0.68721694,0.7172851,0.65457124,0.73684216
154,ID7,mase,1.5704502,1.1911467,1.2701607,1.0831425,1.8302919
155,ID71,mase,0.19875744,0.24280807,0.25116298,0.30472746,1.1241829
